what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1401337080966
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1401337081351
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1401337081969
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1401337082152
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1401337082591
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1401337082601
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1401337082602
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1401337082656
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1401337082911
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1401337082915
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1401337084904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337086706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337088783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337091266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337143722
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401337146160
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1401337146161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401337149734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338104872
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338152581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338185257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338219061
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1401338228680
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401338242452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401338246746
